DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1111/1442-1984.12109,,,Geographic structure of genetic and phenotypic variation in the hybrid zone between Quercus affinis and Q. laurina in Mexico,"Analyzing the structure of hybrid zones is important for inferring their origin, dynamics and evolutionary significance. We examined the geographic structure of phenotypic and genetic variation in the contact zone between two Mexican red oaks, Quercus affinis and Q. laurina. A total of 105 individuals from seven populations were sampled along a 600-km latitudinal gradient representing the distribution area of the two species and their contact zone. Individuals were genotyped for nine nuclear and four chloroplast DNA microsatellite loci (ncSSR and cpSSR, respectively), and characterized for several leaf and acorn traits. The cpSSR data revealed extensive haplotype sharing among populations of the two species, while a Bayesian assignment analysis based on ncSSRs identified two main genetic groups, each corresponding to one of the species, and two populations in the contact zone showing evidence of admixture. The proportion of genetic ancestry in the populations was strongly associated with latitude and showed a pattern of variation with the shape of a narrow sigmoidal cline. The variation in three of the seven phenotypic traits was partially congruent with molecular variation, while the other traits did not conform to a geographic cline but instead were correlated with environmental variables. In conclusion, the hybrid zone between the two oak species has some of the characteristics of a tension zone, but heterogeneous variation across traits suggests differential introgression and the action of extrinsic selection.","Selene Ramos-Ortiz,S. Ramos‐Ortiz,Ken Oyama,Ken Oyama,Hernando Rodríguez‐Correa,Hernando Rodríguez-Correa,Antonio González‐Rodríguez,Antonio González-Rodríguez",Plant Species Biology,2016
10.3390/plants9091149,32899727,,"Response of Downy Oak (Quercus pubescens Willd.) to Climate Change: Transcriptome Assembly, Differential Gene Analysis and Targeted Metabolomics","Global change scenarios in the Mediterranean basin predict a precipitation reduction within the coming hundred years. Therefore, increased drought will affect forests both in terms of adaptive ecology and ecosystemic services. However, how vegetation might adapt to drought is poorly understood. In this report, four years of climate change was simulated by excluding 35% of precipitation above a downy oak forest. RNASeq data allowed us to assemble a genome-guided transcriptome. This led to the identification of differentially expressed features, which was supported by the characterization of target metabolites using a metabolomics approach. We provided 2.5 Tb of RNASeq data and the assembly of the first genome guided transcriptome of Quercus pubescens. Up to 5724 differentially expressed transcripts were obtained; 42 involved in plant response to drought. Transcript set enrichment analysis showed that drought induces an increase in oxidative pressure that is mitigated by the upregulation of ubiquitin-like protein protease, ferrochelatase, oxaloacetate decarboxylase and oxo-acid-lyase activities. Furthermore, the downregulation of auxin biosynthesis and transport, carbohydrate storage metabolism were observed as well as the concomitant accumulation of metabolites, such as oxalic acid, malate and isocitrate. Our data suggest that early metabolic changes in the resistance of Q. pubescens to drought involve a tricarboxylic acid (TCA) cycle shunt through the glyoxylate pathway, galactose metabolism by reducing carbohydrate storage and increased proteolytic activity.","Jean-Philippe Mévy,Jean-Philippe Mévy,Béatrice Loriod,Béatrice Loriod,Xi Liu,Xi Liu,Erwan Corre,Erwan Corre,Erwan Corre,Erwan Corre,Magali Torres,Magali Torres,Michael Büttner,Michael Büttner,Michael Büttner,Romain David,Anne Haguenauer,Anne Haguenauer,Anne Haguenauer,Anne Haguenauer,Ilja M. Reiter,Ilja M. Reiter,Catherine Fernandez,Catherine Fernandez,Thierry Gauquelin,Thierry Gauquelin",Plants,2020
10.1007/s10841-018-0103-7,,,Hybridization increases canopy arthropod diversity in the Quercus affinis - Quercus laurina complex,"Understanding the factors that influence the diversity and composition of arthropod communities is a major topic in ecology. Canopy arthropod communities are a major constituent of biodiversity and show great variation in time and space according to different factors. Recently, genetic variation within tree species has attracted attention as a significant factor determining the diversity and composition of canopy arthropod communities. A major source of genetic and phenotypic novelty in plant species is interspecific hybridization, and therefore it is of interest to evaluate how this process affects the communities of associated organisms. In this study, we used microsatellite markers and geometric morphometry of leaf shape to analyze genetic and morphological variation in 45 individuals in a local hybrid zone between the oaks Quercus affinis and Q. laurina in Mexico. Individual trees were assigned to one of the parental species or to the hybrid category. The percentage of leaf area removed by herbivores was quantified in each individual and the canopies of five individuals of each categeory (two parental species and hybrids) was fogged with insecticide to assess the diversity and composition of arthropod communities. Results indicated that hybrid trees experience higher levels of herbivory than parental species and also sustain a higher abundance and richness of canopy arthropods. In general, our study supports the “hybrid susceptibility hypothesis” that predicts a higher incidence of associated arthropods on hybrid plants than in their parental species as result of the disruption of co-adapted gene complexes associated to resistance traits.","Yurixhi Maldonado-López,Yurixhi Maldonado-López,Marcela Sofía Vaca-Sánchez,Marcela Sofía Vaca-Sánchez,Antonio González‐Rodríguez,Antonio González-Rodríguez,Ken Oyama,Ken Oyama,Edmundo Carlos López-Barbosa,Edmundo López-Barbosa,Marcílio Fagundes,Marcílio Fagundes,Pablo Cuevas‐Reyes,Pablo Cuevas-Reyes",Journal of Insect Conservation,2018
10.1007/s11295-019-1353-6,,,Transcriptome dynamics of cork oak ( Quercus suber ) somatic embryogenesis reveals active gene players in transcription regulation and phytohormone homeostasis of embryo development,"Cork oak (Quercus suber L.) is one of the most important Mediterranean forest tree species. The last decades have been marked by a decline in this species. Implementation of breeding programs is fundamental to revert this trend. Somatic embryogenesis is the system of choice for clonal propagation, constituting a valuable tool for embryo production and improved genotype testing. In this study, the cork oak transcriptome during somatic embryogenesis was characterized in four stages of development to identify relevant genes in the process and to understand the molecular and biochemical events occurring in each specific stage. A total 66,693 candidate coding regions were predicted from the generated de novo transcriptome assembly. Differential gene expression analysis identified 11,507 genes distributed in 30 clusters with distinct gene expression patterns and enriched in various biological process GO terms. Results show 1159 differentially expressed genes coding for transcription regulators, namely transcription factors (76%) with important roles in embryogenesis, like orthologous of AINTEGUMENTA-like, PLETHORA, CYTOKININ RESPONSE FACTOR, GATA transcription factors, and AUXIN RESPONSE FACTORs genes. Results also show 250 differentially expressed phytohormone-related genes involved in important aspects of embryogenesis as tissue specification, differentiation, and embryogenesis competence. Finally, we identified a group of genes with functions in cellular protection and abiotic stress tolerance coding for LATE EMBRYOGENESIS ABUNDANT proteins. Cork oak embryogenesis transcriptome characterization represents a tool for future biotechnological applications. Our results provide a molecular insight into embryo development, establishing a basis for further research towards improvement of somatic embryogenesis in cork oak.","Tiago Capote,Tiago Capote,Tiago Capote,Anabel Usié,Anabel Usié,Pedro Barbosa,Pedro Barbosa,A. M. Ramos,Marcos Ramos,Leonor Morais-Cecílio,Leonor Morais-Cecílio,Sónia Gonçalves,Sónia Gonçalves",Tree Genetics & Genomes,2019
10.3390/ijms19041042,29601535,,Different Natural Selection Pressures on the atpF Gene in Evergreen Sclerophyllous and Deciduous Oak Species: Evidence from Comparative Analysis of the Complete Chloroplast Genome of Quercus aquifolioides with Other Oak Species,"Quercus is an economically important and phylogenetically complex genus in the family Fagaceae. Due to extensive hybridization and introgression, it is considered to be one of the most challenging plant taxa, both taxonomically and phylogenetically. Quercus aquifolioides is an evergreen sclerophyllous oak species that is endemic to, but widely distributed across, the Hengduanshan Biodiversity Hotspot in the Eastern Himalayas. Here, we compared the fully assembled chloroplast (cp) genome of Q. aquifolioides with those of three closely related species. The analysis revealed a cp genome ranging in size from 160,415 to 161,304 bp and with a typical quadripartite structure, composed of two inverted repeats (IRs) separated by a small single copy (SSC) and a large single copy (LSC) region. The genome organization, gene number, gene order, and GC content of these four Quercus cp genomes are similar to those of many angiosperm cp genomes. We also analyzed the Q. aquifolioides repeats and microsatellites. Investigating the effects of selection events on shared protein-coding genes using the Ka/Ks ratio showed that significant positive selection had acted on the atpF gene of Q. aquifolioides compared to two deciduous oak species, and that there had been significant purifying selection on the atpF gene in the chloroplast of evergreen sclerophyllous oak trees. In addition, site-specific selection analysis identified positively selected sites in 12 genes. Phylogenetic analysis based on shared protein-coding genes from 14 species defined Q. aquifolioides as belonging to sect. Heterobalanus and being closely related to Q. rubra and Q. aliena. Our findings provide valuable genetic information for use in accurately identifying species, resolving taxonomy, and reconstructing the phylogeny of the genus Quercus.","Kangquan Yin,Kangquan Yin,Yue Zhang,Yue Zhang,Yuejuan Li,Yuejuan Li,Fang Du,Fang K. Du",International Journal of Molecular Sciences,2018
10.1007/s11738-021-03294-2,,,Transcriptome sequencing and drought resistance gene annotation in Quercus liaotungensis leaves,"Q. liaotungensis is an important drought-resistant tree species in Northeast China where the climate is dry and rainless. In this study, we performed a deep transcriptomic sequencing in Q. liaotungensis leaves, including de novo assembly and functional annotation for screening the candidate genes involved in drought avoidance. A total of 25,593 unigenes were obtained from Illumina sequencing platform. According to Gene Ontology annotation and KEGG pathway enrichment analysis, we screened a series of candidate genes encoding SOD, POD, CAT, DREB, MYB, WRKY, bZIP, and NAC from the Q. liaotungensis leaf transcriptome, all of which are potentially involved in drought resistance. The results of this study expanded the genetic resources of Q. liaotungensis and provided a theoretical basis for further exploring the functional gene information of Q. liaotungensis.","Guobao Wang,Guobao Wang,Li Qin,Li Qin",Acta Physiologiae Plantarum,2021
10.1073/pnas.1908771116,31767740,,Adaptational lag to temperature in valley oak (Quercus lobata) can be mitigated by genome-informed assisted gene flow,"Climate change over the next century is predicted to cause widespread maladaptation in natural systems. This prediction, as well as many sustainable management and conservation practices, assumes that species are adapted to their current climate. However, this assumption is rarely tested. Using a large-scale common garden experiment combined with genome-wide sequencing, we found that valley oak (Quercus lobata), a foundational tree species in California ecosystems, showed a signature of adaptational lag to temperature, with fastest growth rates occurring at cooler temperatures than populations are currently experiencing. Future warming under realistic emissions scenarios was predicted to lead to further maladaptation to temperature and reduction in growth rates for valley oak. We then identified genotypes predicted to grow relatively fast under warmer temperatures and demonstrated that selecting seed sources based on their genotype has the potential to mitigate predicted negative consequences of future climate warming on growth rates in valley oak. These results illustrate that the belief of local adaptation underlying many management and conservation practices, such as using local seed sources for restoration, may not hold for some species. If contemporary adaptational lag is commonplace, we will need new approaches to help alleviate predicted negative consequences of climate warming on natural systems. We present one such approach, “genome-informed assisted gene flow,” which optimally matches individuals to future climates based on genotype–phenotype–environment associations.","Luke Browne,Luke Browne,Jessica W. Wright,Jessica W. Wright,Sorel Fitz-Gibbon,Sorel Fitz-Gibbon,Paul F. Gugger,Paul F. Gugger,Victoria L. Sork,Victoria L. Sork",Proceedings of the National Academy of Sciences of the United States of America,2019
10.3390/ijms20235940,31779118,,"Species Identification of Oaks (Quercus L., Fagaceae) from Gene to Genome.","Species identification of oaks (Quercus) is always a challenge because many species exhibit variable phenotypes that overlap with other species. Oaks are notorious for interspecific hybridization and introgression, and complex speciation patterns involving incomplete lineage sorting. Therefore, accurately identifying Quercus species barcodes has been unsuccessful. In this study, we used chloroplast genome sequence data to identify molecular markers for oak species identification. Using next generation sequencing methods, we sequenced 14 chloroplast genomes of Quercus species in this study and added 10 additional chloroplast genome sequences from GenBank to develop a DNA barcode for oaks. Chloroplast genome sequence divergence was low. We identified four mutation hotspots as candidate Quercus DNA barcodes; two intergenic regions (matK-trnK-rps16 and trnR-atpA) were located in the large single copy region, and two coding regions (ndhF and ycf1b) were located in the small single copy region. The standard plant DNA barcode (rbcL and matK) had lower variability than that of the newly identified markers. Our data provide complete chloroplast genome sequences that improve the phylogenetic resolution and species level discrimination of Quercus. This study demonstrates that the complete chloroplast genome can substantially increase species discriminatory power and resolve phylogenetic relationships in plants.","Xinbo Pang,Xinbo Pang,Hongshan Liu,Hongshan Liu,Suran Wu,Suran Wu,Yangchen Yuan,Yangchen Yuan,LI Hai-jun,Haijun Li,Junsheng Dong,Junsheng Dong,Zhaohua Liu,Zhaohua Liu,Chuanzhi An,Chuanzhi An,Zhihai Su,Zhihai Su,Bin Li,Bin Li,Bin Li",International Journal of Molecular Sciences,2019
10.1111/mec.15289,31652373,,Seedling response to water stress in valley oak ( Quercus lobata ) is shaped by different gene networks across populations,"Drought is a major stress for plants, creating a strong selection pressure for traits that enable plant growth and survival in dry environments. Many drought responses are conserved species-wide responses, while others vary among populations distributed across heterogeneous environments. We tested how six populations of the widely distributed California valley oak (Quercus lobata) sampled from contrasting climates would differ in their response to soil drying relative to well-watered controls in a common environment by measuring ecophysiological traits in 93 individuals and gene expression (RNA-seq) in 42 individuals. Populations did not differ in their adjustment of turgor loss point during soil drying, suggesting a generalized species-wide response. Differential expression analysis identified 689 genes with a common response to treatment across populations and 470 genes with population-specific responses. Weighted gene co-expression network analysis (WGCNA) identified groups of genes with similar expression patterns that may be regulated together (gene modules). Several gene modules responded differently to water stress among populations, suggesting regional differences in gene network regulation. Populations from sites with a high mean annual temperature responded to the imposed water stress with significantly greater changes in gene module expression, indicating that these populations may be locally adapted to respond to drought. We propose that this variation among valley oak populations provides a mechanism for differential tolerance to the increasingly frequent and severe droughts in California.","Alayna Mead,Alayna Mead,Juan Peñaloza Ramirez,Juan Peñaloza Ramirez,Megan K. Bartlett,Megan K. Bartlett,Jessica W. Wright,Jessica W. Wright,Lawren Sack,Lawren Sack,Victoria L. Sork,Victoria L. Sork",Molecular Ecology,2019
10.2478/sg-2023-0002,,,Exploring the gene pools of Cypriot oaks: no evidence of intersectional hybridization,"Abstract In our study, we performed a population genetic analysis in all three native oak species of Cyprus and addressed whether two intermediate individuals arose from intersectional hybridization between Quercus coccifera ssp. calliprinos and Q. infectoria ssp. veneris . For this purpose, we successfully tested chloroplast and nuclear microsatellites initially developed for other oak species. We identified a set of markers that can be efficiently used for species identification and study of hybridization. Haplotypes based on the chloroplast microsatellites could resolve different maternal lineages and distinguish between the two sections represented in the study area. Using the nuclear microsatellites, we described patterns of genetic diversity across species with the endemic Q. alnifolia exhibiting reduced genetic diversity. Additionally, we employed a multivariate analysis, which could clearly differentiate among the three species. The two intermediate individuals clustered within the point cloud of Q. infectoria ssp. veneris and also possessed a chloroplast haplotype typical for this species. Therefore, we rejected the hypothesis of intersectional hybridization and interpreted their phenotypic appearance as the result of high phenotypic plasticity within Q. infectoria ssp. veneris .","Charalambos Neophytou,Simon Jansen,Ralf Hand,Georgia Chrysostomou,Konstantinos Iosif,Charalambos S. Christodoulou",Silvae Genetica,2023
10.1111/1755-0998.13914,38108568,,High-quality haplotype-resolved genome assembly for ring-cup oak (Quercus glauca) provides insight into oaks demographic dynamics.,"Quercus section Cyclobalanopsis represents a dominant woody lineage in East Asian evergreen broadleaved forests. Regardless of its ecological and economic importance, little is known about the genomes of species in this unique oak lineage. Quercus glauca is one of the most widespread tree species in the section Cyclobalanopsis. In this study, a high-quality haplotype-resolved reference genome was assembled for Q. glauca from PacBio HiFi and Hi-C reads. The genome size, contig N50, and scaffold N50 measured 902.88, 7.60, and 69.28 Mb, respectively, for haplotype1, and 913.28, 7.20, and 71.53 Mb, respectively, for haplotype2. A total of 37,457 and 38,311 protein-coding genes were predicted in haplotype1 and haplotype2, respectively. Homologous chromosomes in the Q. glauca genome had excellent gene pair collinearity. The number of R-genes in Q. glauca was similar to most East Asian oaks but less than oak species from Europe and America. Abundant structural variation in the Q. glauca genome could contribute to environmental stress tolerance in Q. glauca. Sections Cyclobalanopsis and Cerris diverged in the Oligocene, in agreement with fossil records for section Cyclobalanopsis, which document its presence in East Asia since the early Miocene. The demographic dynamics of closely related oak species were largely similar. The high-quality reference genome provided here for the most widespread species in section Cyclobalanopsis will serve as an essential genomic resource for evolutionary studies of key oak lineages while also supporting studies of interspecific introgression, local adaptation, and speciation in oaks.","Chang-Sha Luo,Tian-Tian Li,Xiao‐Long Jiang,Ying Song,Ting-Ting Fan,Xiang-Bao Shen,Rong Yi,Xiao-Ping Ao,Gang-Biao Xu,Min Deng",Molecular Ecology Resources,2023
10.7717/peerj.1897,27123376,,Plastome data reveal multiple geographic origins of Quercus Group Ilex,"Nucleotide sequences from the plastome are currently the main source for assessing taxonomic and phylogenetic relationships in flowering plants and their historical biogeography at all hierarchical levels. One major exception is the large and economically important genus Quercus (oaks). Whereas differentiation patterns of the nuclear genome are in agreement with morphology and the fossil record, diversity patterns in the plastome are at odds with established taxonomic and phylogenetic relationships. However, the extent and evolutionary implications of this incongruence has yet to be fully uncovered. The DNA sequence divergence of four Euro-Mediterranean Group Ilex oak species (Quercus ilex L., Q. coccifera L., Q. aucheri Jaub. & Spach., Q. alnifolia Poech.) was explored at three chloroplast markers (rbcL, trnK/matK, trnH-psbA). Phylogenetic relationships were reconstructed including worldwide members of additional 55 species representing all Quercus subgeneric groups. Family and order sequence data were harvested from gene banks to better frame the observed divergence in larger taxonomic contexts. We found a strong geographic sorting in the focal group and the genus in general that is entirely decoupled from species boundaries. High plastid divergence in members of Quercus Group Ilex, including haplotypes shared with related, but long isolated oak lineages, point towards multiple geographic origins of this group of oaks. The results suggest that incomplete lineage sorting and repeated phases of asymmetrical introgression among ancestral lineages of Group Ilex and two other main Groups of Eurasian oaks (Cyclobalanopsis and Cerris) caused this complex pattern. Comparison with the current phylogenetic synthesis also suggests an initial high- versus mid-latitude biogeographic split within Quercus. High plastome plasticity of Group Ilex reflects geographic area disruptions, possibly linked with high tectonic activity of past and modern distribution ranges, that did not leave imprints in the nuclear genome of modern species and infrageneric lineages.","Marco Cosimo Simeone,Marco Cosimo Simeone,Guido W. Grimm,Guido W. Grimm,Alessio Papini,Alessio Papini,Federico Vessella,Federico Vessella,Simone Cardoni,Simone Cardoni,Enrico Tordoni,Enrico Tordoni,Roberta Piredda,Roberta Piredda,Alain Franc,Alain Franc,Thomas Denk,Thomas Denk",PeerJ,2016
10.3390/f12060786,,,An Updated Infrageneric Classification of the North American Oaks (Quercus Subgenus Quercus): Review of the Contribution of Phylogenomic Data to Biogeography and Species Diversity,"The oak flora of North America north of Mexico is both phylogenetically diverse and species-rich, including 92 species placed in five sections of subgenus Quercus, the oak clade centered on the Americas. Despite phylogenetic and taxonomic progress on the genus over the past 45 years, classification of species at the subsectional level remains unchanged since the early treatments by WL Trelease, AA Camus, and CH Muller. In recent work, we used a RAD-seq based phylogeny including 250 species sampled from throughout the Americas and Eurasia to reconstruct the timing and biogeography of the North American oak radiation. This work demonstrates that the North American oak flora comprises mostly regional species radiations with limited phylogenetic affinities to Mexican clades, and two sister group connections to Eurasia. Using this framework, we describe the regional patterns of oak diversity within North America and formally classify 62 species into nine major North American subsections within sections Lobatae (the red oaks) and Quercus (the white oaks), the two largest sections of subgenus Quercus. We also distill emerging evolutionary and biogeographic patterns based on the impact of phylogenomic data on the systematics of multiple species complexes and instances of hybridization.","Paul S. Manos,Paul S. Manos,Andrew L. Hipp,Andrew L. Hipp",Forests,2021
10.1111/eva.13650,38524684,,Ex situ conservation of two rare oak species using microsatellite and SNP markers,"Abstract Plant collections held by botanic gardens and arboreta are key components of ex situ conservation. Maintaining genetic diversity in such collections allows them to be used as resources for supplementing wild populations. However, most recommended minimum sample sizes for sufficient ex situ genetic diversity are based on microsatellite markers, and it remains unknown whether these sample sizes remain valid in light of more recently developed next‐generation sequencing (NGS) approaches. To address this knowledge gap, we examine how ex situ conservation status and sampling recommendations differ when derived from microsatellites and single nucleotide polymorphisms (SNPs) in garden and wild samples of two threatened oak species. For Quercus acerifolia, SNPs show lower ex situ representation of wild allelic diversity and slightly lower minimum sample size estimates than microsatellites, while results for each marker are largely similar for Q. boyntonii. The application of missing data filters tends to lead to higher ex situ representation, while the impact of different SNP calling approaches is dependent on the species being analyzed. Measures of population differentiation within species are broadly similar between markers, but larger numbers of SNP loci allow for greater resolution of population structure and clearer assignment of ex situ individuals to wild source populations. Our results offer guidance for future ex situ conservation assessments utilizing SNP data, such as the application of missing data filters and the usage of a reference genome, and illustrate that both microsatellites and SNPs remain viable options for botanic gardens and arboreta seeking to ensure the genetic diversity of their collections.","Austin C. Koontz,Emily K. Schumacher,Emma S. Spence,Sean Hoban",Evolutionary Applications,2024
,,,Phylogeny and Introgression of California Scrub White Oaks ( Quercus section Quercus ),"The taxonomy of oaks (Quercus) is always a challenge because many species exhibit variable phenotypes that overlap with other species. The scrub White Oaks of California are no exception. In California, Quercus section Quercus (i.e., White Oaks) includes six species of scrub oaks plus four tree oak species. Field identification utilizes leaf traits and acorns, when available, as well as geographic location, but often botanists – with the exception of specialists – are not confident of their assignments. Complicating our understanding of scrub oaks further is the historical and ongoing introgression among taxa. Fortunately, new research using nuclear microsatellite genetic markers and RADseq-based sequences are clarifying their evolutionary relationships. Based on these genetic markers, we describe the phylogenetic relationships among the California scrub and tree White Oaks. Given the impact of hybridization in oaks, we then present a specific example involving three Southern California oaks – one tree oak (Q. engelmannii) and two scrub oaks (Q. berberidifolia and Q. cornelius-mulleri) – to illustrate how the environment and geography play a role in promoting interspecific gene exchange. This paper provides an overview of a fascinating scrub oak complex in a topographically and climatically diverse region.","V. Sork,E. Riordan,Paul F. Gugger,S. Fitz-Gibbon,Xinzeng Wei,J. Ortego",,2016
10.3390/genes15020230,38397219,,Complete Chloroplast Genomes of Four Oaks from the Section Cyclobalanopsis Improve the Phylogenetic Analysis and Understanding of Evolutionary Processes in the Genus Quercus,"Quercus is a valuable genus ecologically, economically, and culturally. They are keystone species in many ecosystems. Species delimitation and phylogenetic studies of this genus are difficult owing to frequent hybridization. With an increasing number of genetic resources, we will gain a deeper understanding of this genus. In the present study, we collected four Quercus section Cyclobalanopsis species (Q. poilanei, Q. helferiana, Q. camusiae, and Q. semiserrata) distributed in Southeast Asia and sequenced their complete genomes. Following analysis, we compared the results with those of other species in the genus Quercus. These four chloroplast genomes ranged from 160,784 bp (Q. poilanei) to 161,632 bp (Q. camusiae) in length, with an overall guanine and cytosine (GC) content of 36.9%. Their chloroplast genomic organization and order, as well as their GC content, were similar to those of other Quercus species. We identified seven regions with relatively high variability (rps16, ndhk, accD, ycf1, psbZ—trnG-GCC, rbcL—accD, and rpl32—trnL-UAG) which could potentially serve as plastid markers for further taxonomic and phylogenetic studies within Quercus. Our phylogenetic tree supported the idea that the genus Quercus forms two well-differentiated lineages (corresponding to the subgenera Quercus and Cerris). Of the three sections in the subgenus Cerris, the section Ilex was split into two clusters, each nested in the other two sections. Moreover, Q. camusiae and Q. semiserrata detected in this study diverged first in the section Cyclobalanopsis and mixed with Q. engleriana in the section Ilex. In particular, 11 protein coding genes (atpF, ndhA, ndhD, ndhF, ndhK, petB, petD, rbcL, rpl22, ycf1, and ycf3) were subjected to positive selection pressure. Overall, this study enriches the chloroplast genome resources of Quercus, which will facilitate further analyses of phylogenetic relationships in this ecologically important tree genus.","Ling-Ling Wang,Yu Li,Si-Si Zheng,Gregor Kozlowski,Jin Xu,Yi-Gang Song",Genes,2024
10.1111/nph.15842,30963585,,Uncovering the genomic signature of ancient introgression between white oak lineages (Quercus),"Botanists have long recognised interspecific gene flow as a common occurrence within white oaks (Quercus section Quercus). Historical allele exchange, however, has not been fully characterised and the complex genomic signals resulting from the combination of vertical and horizontal gene transmission may confound phylogenetic inference and obscure our ability to accurately infer the deep evolutionary history of oaks. Using anchored enrichment, we obtained a phylogenomic dataset consisting of hundreds of single-copy nuclear loci. Concatenation, species-tree and network analyses were carried out in an attempt to uncover the genomic signal of ancient introgression and infer the divergent phylogenetic topology for the white oak clade. Locus and site-level likelihood comparisons were then conducted to further explore the introgressed signal within our dataset. Historical, intersectional gene flow is suggested to have occurred between an ancestor of the Eurasian Roburoid lineage and Quercus pontica and North American Dumosae and Prinoideae lineages. Despite extensive time past, our approach proved successful in detecting the genomic signature of ancient introgression. Our results, however, highlight the importance of sampling and the use of a plurality of analytical tools and methods to sufficiently explore genomic datasets, uncover this signal, and accurately infer evolutionary history.","Andrew A. Crowl,Andrew A. Crowl,Paul S. Manos,Paul S. Manos,John D. McVay,John D. McVay,Alan R. Lemmon,Alan R. Lemmon,Emily Moriarty Lemmon,Emily Moriarty Lemmon,Andrew L. Hipp,Andrew L. Hipp",New Phytologist,2019
10.1111/j.1365-294x.2012.05591.x,22548448,,Influence of environmental heterogeneity on genetic diversity and structure in an endemic southern Californian oak,"Understanding how specific environmental factors shape gene flow while disentangling their importance relative to the effects of geographical isolation is a major question in evolutionary biology and a specific goal of landscape genetics. Here, we combine information from nuclear microsatellite markers and ecological niche modelling to study the association between climate and spatial genetic structure and variability in Engelmann oak (Quercus engelmannii), a wind-pollinated species with high potential for gene flow. We first test whether genetic diversity is associated with climatic niche suitability and stability since the Last Glacial Maximum (LGM). Second, we use causal modelling to analyse the potential influence of climatic factors (current and LGM niche suitability) and altitude in the observed patterns of genetic structure. We found that genetic diversity is negatively associated with local climatic stability since the LGM, which may be due to higher immigration rates in unstable patches during favourable climatic periods and ⁄or temporally varying selection. Analyses of spatial genetic structure revealed the presence of three main genetic clusters, a pattern that is mainly driven by two highly differentiated populations located in the northern edge of the species distribution range. After controlling for geographic distance, causal modelling analyses showed that genetic relatedness decreases with the environmental divergence among sampling sites estimated as altitude and current and LGM niche suitability. Natural selection against nonlocal genotypes and ⁄or asynchrony in reproductive phenology may explain this pattern. Overall, this study suggests that local environmental conditions can shape patterns of genetic structure and variability even in species with high potential for gene flow and relatively small distribution ranges.","Joaquín Ortego,Joaquín Ortego,Erin C. Riordan,E. C. Riordan,Paul F. Gugger,Paul F. Gugger,Victoria L. Sork,Victoria L. Sork",Molecular Ecology,2012
10.3159/torrey-d-14-00091.1,,,"Genetic analysis of a rare isolated species: A tough little West Texas oak, Quercus hinckleyi C.H. Mull.1","Abstract Low levels of genetic variability, inbreeding, and limited gene flow are three possible threats to small, isolated plant populations as exemplified by Quercus hinckleyi C.H. Muller. J. This scrub oak species has survived over the past 10,000 years in a region in which the climate has become increasingly xeric. While more prevalent after the last ice age, its US range is now limited to a handful of populations in one county in West Texas. This study examines the genetic diversity of the relict metapopulation and resultant conservation implications. We used microsatellites to genotype a total of 204 ramets collected from three locations in Presidio County, TX, that represent all known occurrences of Q. hinckleyi. Analyses of eight loci were used to determine levels of genetic variability, population structure and clonal growth. Genetic diversity for the sampled plants was high: for the total metapopulation, the mean number of alleles (Na) was 17.875; the mean observed heterozygosity (Ho) was 0.807;...","Janet Rizner Backs,Janet Rizner Backs,Martin Terry,Martin Terry,Mollie Klein,Mollie Klein,Mary V. Ashley,Mary V. Ashley",Journal of The Torrey Botanical Society,2015
,,,"Quercus hinckleyi - Q. vaseyana, a putative hybrid from Presidio County, Texas",,"Martin Terry,Martin Terry,S Scoppa,S Scoppa",,2010
,,,"Population Structure and Gene Flow in Two Rare, Isolated Quercus Species: Q. hinckleyi and Q. pacifica",,Janet Rizner Backs,,2014
10.1111/nph.18814,36792969,,"Chromosome - scale genome assembly and insights into the metabolome and gene regulation of leaf color transition in an important oak species, <i>Quercus dentata</i>","Quercus dentata Thunb., a dominant forest tree species in northern China, has significant ecological and ornamental value due to its adaptability and beautiful autumn coloration, with color changes from green to yellow into red resulting from the autumnal shifts in leaf pigmentation. However, the key genes and molecular regulatory mechanisms for leaf color transition remain to be investigated. First, we presented a high-quality chromosome-scale assembly for Q. dentata. This 893.54 Mb sized genome (contig N50 = 4.21 Mb, scaffold N50 = 75.55 Mb; 2n = 24) harbors 31 584 protein-coding genes. Second, our metabolome analyses uncovered pelargonidin-3-O-glucoside, cyanidin-3-O-arabinoside, and cyanidin-3-O-glucoside as the main pigments involved in leaf color transition. Third, gene co-expression further identified the MYB-bHLH-WD40 (MBW) transcription activation complex as central to anthocyanin biosynthesis regulation. Notably, transcription factor (TF) QdNAC (QD08G038820) was highly co-expressed with this MBW complex and may regulate anthocyanin accumulation and chlorophyll degradation during leaf senescence through direct interaction with another TF, QdMYB (QD01G020890), as revealed by our further protein-protein and DNA-protein interaction assays. Our high-quality genome assembly, metabolome, and transcriptome resources further enrich Quercus genomics and will facilitate upcoming exploration of ornamental values and environmental adaptability in this important genus.","Wen‐Bo Wang,Xiangfeng He,Xuemei Yan,Bo Ma,Cunfu Lu,Jing Wu,Yi Zheng,Wenhe Wang,Wenbo Xue,Xue Tian,Jing‐Fang Guo,Yousry A. El‐Kassaby,Ilga Porth,Pei Leng,Zenghui Hu,Jian‐Feng Mao",New Phytologist,2023
