Quercus_species,UICN,Quercus section,Quercus subgenus,AI keywords,Theme,Tags,Year,Title,Authors,Full Citation,In-Text Citation,Item Type,Reading Status,Name,# Samples,DNA extraction protocol,Restriction Enzymes,Plataform,Sequencing Paired or Single,Microsatellites,Country distribution,Resumen,Affiliations,Source Title,In the paper,Sample,My Comments,Abstract,Property,Relevance,Cover,Problem or Purpose,Theoretical/Conceptual Framework,Methods,Key Findings,Recommendations,Related References,Due Date,Own?,Date,Editors,File Path,DOI,URL,Zotero URI
Quercus section Cyclobalanopsis,,Cyclobalanopsis,,,,"Divergence times, Evergreen broadleaved forests (EBLFs), PHYLOGENY, Restriction site associated DNA (RAD-seq), biogeography",2018,Phylogeny and biogeography of East Asian evergreen oaks (<i>Quercus</i> section <i>Cyclobalanopsis</i>; Fagaceae): Insights into the Cenozoic history of evergreen broad-leaved forests in subtropical Asia,"Deng, Min
Jiang, Xiao-Long
Hipp, Andrew L.
Manos, Paul S.
Hahn, Marlene","Deng, M., Jiang, X.-L., Hipp, A. L., Manos, P. S., & Hahn, M. (2018). Phylogeny and biogeography of East Asian evergreen oaks (Quercus section Cyclobalanopsis; Fagaceae): Insights into the Cenozoic history of evergreen broad-leaved forests in subtropical Asia. Molecular Phylogenetics and Evolution, 119, 170–181. https://doi.org/10.1016/j.ympev.2017.11.003","(Deng et al., 2018)",Artículo de revista académica,,"Deng et al., 2018",,,,,,,,"This study reconstructs the phylogeny of Quercus section Cyclobalanopsis, a dominant lineage in East Asian evergreen broadleaved forests (EBLFs), using a genomic approach. The phylogeny reveals the section to be monophyletic, with two main lineages and six subclades. Biogeographical reconstructions suggest that climatic changes and tectonic activities influenced the diversification patterns of Asian EBLF lineages. The study provides insights into the Cenozoic history of evergreen broad-leaved forests in subtropical Asia.",The authors' affiliation is not mentioned in the provided information.,Molecular Phylogenetics and Evolution,,,,"The evolutionary history of Quercus section Cyclobalanopsis, a dominant lineage in East Asian evergreen broadleaved forests (EBLFs), has not been comprehensively studied using molecular tools. In this study, we reconstruct the first comprehensive phylogeny of this lineage using a genomic approach (restriction-site associated DNA sequencing, RAD-seq), sampling 35 of the ca. 90 species currently recognized, representing all main morphological groups of section Cyclobalanopsis. In addition, 10 other species of Quercus and two outgroups were also sampled. Divergence times were estimated using a relaxed clock model and two fossil calibrations. Ancestral areas and dispersal routes were inferred using statistical dispersal-vicariance analysis and the dispersal-extinction-cladogenesis (DEC) model. The phylogeny of Quercus section Cyclobalanopsis demonstrates the section to be monophyletic, comprising two main lineages and six subclades that are well supported by anatomical traits. Biogeographical reconstructions indicate that the wide northern hemisphere distribution of Quercus was disrupted in the Late Eocene, leading to the main extant groups at about 33 Ma. The earliest divergences in section Cyclobalanopsis correspond to the phased uplift of the Himalayas and lateral extrusion of Indochina at the transition of the Oligocene and Miocene, where the highest rate of diversification occurred in the late Miocene. Dispersal from Sino-Himalaya and the Palaeotropics to Sino-Japan in the Miocene was facilitated by the increased intensity of East Asian summer monsoons and by the Middle Miocene Climatic Optimum. Our results highlight the importance of climatic changes and Indo-Eurasian collision-induced tectonic activities from the Neogene onward to the spatial-temporal diversification patterns of Asian EBLF lineages.",,,,,,,,,,,,01/02/18,,/Users/nelly/Zotero/storage/6T3X9MLT/S1055790317304050.html,https://doi.org/10.1016/j.ympev.2017.11.003,https://www.sciencedirect.com/science/article/pii/S1055790317304050,https://zotero.org/elly_pc/items/NVQDXFB9
Quercus brantii Lindl.,,,,,,,2018,Rapid and economical protocols for genomic and metagenomic DNA extraction from oak (Quercus brantii Lindl.),"Ahmadi, Elahe
Kowsari, Mojegan
Azadfar, Davoud
Salehi Jouzani, Gholamreza","Ahmadi, E., Kowsari, M., Azadfar, D., & Salehi Jouzani, G. (2018). Rapid and economical protocols for genomic and metagenomic DNA extraction from oak (Quercus brantii Lindl.). Annals of Forest Science, 75(2), Article 2. https://doi.org/10.1007/s13595-018-0705-y","(Ahmadi et al., 2018)",Artículo de revista académica,,"Ahmadi et al., 2018",,,,,,,,"Two new efficient and low-cost methods for extracting metagenomic DNA from different tissues of Persian oak (Quercus brantii Lindl.) were developed. The newly developed methods showed high efficiency in terms of yield, purity, and cost, and were compared to classical methods and commercial extraction kits. The results demonstrated successful PCR amplification and high efficiency in quantitative PCR, restriction digestion, and metagenomic library construction. These protocols are valuable for ""omics"" studies on Quercus species and overcoming environmental challenges.",The affiliation of the authors is not provided in the given document.,Annals of Forest Science,,,,"Two new efficient, fast and low-cost metagenomic DNA extraction methods were developed for different Persian oak tissues (leaf, stem, root, and rhizospheric) and soil samples. The new “omics” studies on the genus Quercus are of importance to help finding efficient strategies for overcoming environmental challenges, and to do this, presence of efficient DNA extraction protocols for different Quercus species are very critical. The objective of the present study was to develop new efficient methods for extraction of metagenomic DNA (mDNA) from of Persian oak (Quercus brantii Lindl.) tissues. The efficiency of two newly developed mDNA extraction methods, including indirect SDS-based (ISB or concentrate method) and one spin column-based method (SCB) were compared to that of two classical direct methods, including CTAB-based and SDS-based methods, and two commercial mDNA extraction kits. The maximum average yield of mDNA for all samples (leaf, stem, root, bulk, and rhizospheric soils) was obtained by SCB (258 ng/μl) and ISB (189 ng/μl) methods, respectively. Successful PCR amplification for 16SrRNA and ITS sequence was consistently observed for ISB, SCB, and kit-extracted mDNAs, which confirmed the high purity of mDNA extracted by these methods. The new methods showed more than 96% quantitative PCR efficiency, and partial restriction digestion and metagenomic library construction confirmed the high efficiency of the newly developed methods. It could be concluded that two new protocols enhanced efficiency (yield, purity, and cost) of mDNA extraction from different tissues of Persian oak.",,,,,,,,,,,,2018/06,,/Users/nelly/Zotero/storage/DVL74M4K/Ahmadi et al. - 2018 - Rapid and economical protocols for genomic and met.pdf,https://doi.org/10.1007/s13595-018-0705-y,https://annforsci.biomedcentral.com/articles/10.1007/s13595-018-0705-y,https://zotero.org/elly_pc/items/JNGGPPXE
"Quercus tungmaiensis, Quercus aquifolioides","EN, LC",Ilex,,,,"Endemic species, Quercus tungmaiensis, phylogenetic relationship, plastid genome",2018,Characterization of the complete plastid genome of Quercus tungmaiensis,"Yang, Yanci
Zhang, Hao
Ren, Ting
Zhao, Guifang","Yang, Y., Zhang, H., Ren, T., & Zhao, G. (2018). Characterization of the complete plastid genome of Quercus tungmaiensis. Conservation Genetics Resources, 10(3), 457–460. https://doi.org/10.1007/s12686-017-0848-4","(Yang et al., 2018)",Artículo de revista académica,,"Yang et al., 2018",,,,,,,,"The study characterizes the complete plastid genome of Quercus tungmaiensis, an endemic species to SE Tibet. The plastome consists of two inverted repeat regions, a large single copy region, and a small single copy region, with a total length of 160,702 bp. It encodes 134 genes and has a GC content of 36.9%. Phylogenetic analysis shows that Q. tungmaiensis is closely related to Quercus aquifolioides. [Yang et al., 2018]",The affiliation of the authors of this article is not provided in the given information.,Conservation Genetics Resources,,,,"Quercus tungmaiensis is an endemic species to SE Tibet. The complete plastid genome of Q. tungmaiensis was generated by Illumina pair-end sequencing in the current study. The whole plastome had a length of 160,702 bp, consisting of two copies of inverted repeat regions (25,825 bp), a large single copy (LSC) region (90,113 bp) and a small single copy (SSC) region (18,939 bp). The plastome encoded a total of 134 genes, comprising 86 protein-coding genes (79 PCG species), 40 tRNA genes (33 tRNA species), and 8 rRNA genes (4 rRNA species). The overall GC content of Q. tungmaiensis plastome is 36.9%. The maximum likelihood phylogenetic analysis based on 34 complete plastomes revealed that Q. tungmaiensis was closely related to Quercus aquifolioides with 100% bootstrap support value.",,,,,,,,,,,,01/09/18,,/Users/nelly/Zotero/storage/J2YTAAQ6/Yang et al. - 2018 - Characterization of the complete plastid genome of.pdf,https://doi.org/10.1007/s12686-017-0848-4,https://doi.org/10.1007/s12686-017-0848-4,https://zotero.org/elly_pc/items/MHJCJTDQ
"Quercus tarokoensis, Quercus variabilis, Quercus dolicholepis, Quercus baronii",,,,,,"Endemic species, Quercus tarokoensis, phylogenetic relationship, plastid genome",2018,Characterization of the complete plastid genome of Quercus tarokoensis,"Yang, Yanci
Zhou, Tao
Zhu, Juan
Zhao, Jianhua
Zhao, Guifang","Yang, Y., Zhou, T., Zhu, J., Zhao, J., & Zhao, G. (2018). Characterization of the complete plastid genome of Quercus tarokoensis. Conservation Genetics Resources, 10(2), 191–193. https://doi.org/10.1007/s12686-017-0796-z","(Yang et al., 2018)",Artículo de revista académica,,"Yang et al., 2018",,,,,,,,"The study characterizes the complete plastid genome of Quercus tarokoensis, an endemic species to Taiwan, China. The plastome of Q. tarokoensis consists of two inverted repeat regions, a large single copy region, and a small single copy region. It encodes a total of 134 genes and shows a close phylogenetic relationship with Quercus variabilis, Quercus dolicholepis, and Quercus baronii.",The affiliation of the authors is not mentioned in the provided text.,Conservation Genetics Resources,,,,"Quercus tarokoensis is an endemic species to Taiwan, China. The complete plastid genome of Q. tarokoensis was assembled from Illumina pair-end sequence reads. The whole plastome was 161,355 bp in length and presented a quadripartite structure consisting of two copies of inverted repeat (IR) regions (25,860) separated by a large single copy region (90,602 bp) and a small single copy region (19,033 bp). The plastome of Q. tarokoensis encoded a total of 134 genes, including 86 protein-coding genes (79 PCG species), 40 tRNA genes (33 tRNA species), and 8 rRNA genes (4 rRNA species). The overall GC content of Q. tarokoensis plastome is 36.8%. A maximum likelihood phylogenetic analysis based on 33 complete plastomes revealed that Q. tarokoensis was collectively sister to a clade of (Quercus variabilis, (Quercus dolicholepis, Quercus baronii)) with high support.",,,,,,,,,,,,01/06/18,,/Users/nelly/Zotero/storage/M4D5G2X3/Yang et al. - 2018 - Characterization of the complete plastid genome of.pdf,https://doi.org/10.1007/s12686-017-0796-z,https://doi.org/10.1007/s12686-017-0796-z,https://zotero.org/elly_pc/items/VP9MYVMY
"Quercus michauxii, Quercus montana, Quercus muehlenbergii, Quercus prinoides, Quercus stellata, Quercus alba, Quercus macrocarpa",,,,"Conservation Genomics and Genetics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics",,"Hybridization, North American white oaks, RAD-seq, SNP barcode, barcoding",2018,A nuclear DNA barcode for eastern North American oaks and application to a study of hybridization in an Arboretum setting,"Fitzek, Elisabeth
Delcamp, Adline
Guichoux, Erwan
Hahn, Marlene
Lobdell, Matthew
Hipp, Andrew L.","Fitzek, E., Delcamp, A., Guichoux, E., Hahn, M., Lobdell, M., & Hipp, A. L. (2018). A nuclear DNA barcode for eastern North American oaks and application to a study of hybridization in an Arboretum setting. Ecology and Evolution, 8(11), 5837–5851. https://doi.org/10.1002/ece3.4122","(Fitzek et al., 2018)",Artículo de revista académica,,"Fitzek et al., 2018",,,,,,,,"This study developed an economical SNP DNA barcoding system using RAD-seq for distinguishing eight common eastern North American white oak species. The genotyping toolkit was used to investigate hybridization between transplanted oak species and native species in an Arboretum setting, revealing low rates of hybridization. RAD-seq and MassARRAY technologies offer efficient development and implementation of a multispecies barcode for challenging tree genera.",The affiliation of the authors is not mentioned in the document.,Ecology and Evolution,,,,"DNA barcoding has proved difficult in a number of woody plant genera, including the ecologically important oak genus Quercus. In this study, we utilized restrictionsite-associated DNA sequencing (RAD-seq) to develop an economical single nucleotide polymorphism (SNP) DNA barcoding system that suffices to distinguish eight common, sympatric eastern North American white oak species. Two de novo clustering pipelines, PyRAD and Stacks, were used in combination with postclustering bioinformatic tools to generate a list of 291 potential SNPs, 80 of which were included in a barcoding toolkit that is easily implemented using MassARRAY mass spectrometry technology. As a proof-of-concept, we used the genotyping toolkit to infer potential hybridization between North American white oaks transplanted outside of their native range (Q. michauxii, Q. montana, Q muehlenbergii/Q. prinoides, and Q. stellata) into a horticultural collection surrounded by natural forests of locally native trees (Q. alba and Q. macrocarpa) in the living collection at The Morton Arboretum (Lisle, IL, USA). Phylogenetic and clustering analyses suggested low rates of hybridization between cultivated and native species, with the exception of one Q. michauxii mother tree, the acorns of which exhibited high admixture from either Q. alba or Q. stellata and Q. macrocarpa, and a hybrid between Q. stellata that appears to have backcrossed almost exclusively to Q. alba. Together, RAD-seq and MassARRAY technologies allow for efficient development and implementation of a multispecies barcode for one of the more challenging forest tree genera.",,,,,,,,,,,,2018,,/Users/nelly/Zotero/storage/J2KGKWNM/Fitzek et al. - 2018 - A nuclear DNA barcode for eastern North American o.pdf,https://doi.org/10.1002/ece3.4122,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.4122,https://zotero.org/elly_pc/items/W9IEMZCK
Quercus L.,,,,"Conservation Genomics and Genetics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Conservation Genetics and Genomics Past Present Future",,"community assembly, complementarity, convergent evolution, diversification processes, environmental sorting, evolutionary legacy effects, functional traits, phylogenetic structure, species interactions, sympatric parallel adaptive radiation",2018,The role of diversification in community assembly of the oaks (Quercus L.) across the continental U.S.,"Cavender-Bares, Jeannine
Kothari, Shan
Meireles, José Eduardo
Kaproth, Matthew A.
Manos, Paul S
Hipp, Andrew L.","Cavender-Bares, J., Kothari, S., Meireles, J. E., Kaproth, M. A., Manos, P. S., & Hipp, A. L. (2018). The role of diversification in community assembly of the oaks (Quercus L.) across the continental U.S. American Journal of Botany, 105(3), 565–586. https://doi.org/10.1002/ajb2.1049","(Cavender-Bares et al., 2018)",Artículo de revista académica,,"Cavender-Bares et al., 2018",,,,,,,,"This study examines the role of diversification in shaping the assembly of oak-dominated communities across the continental United States. The authors find evidence of phylogenetic overdispersion at small spatial scales and a shift to clustering at larger scales. Leaf traits have evolved convergently, and communities exhibit functional convergence, except in the far west where contrasting leaf types co-occur. The study suggests that interspecific interactions and the diversification process play important roles in community assembly and the maintenance of high oak diversity in North America.","The authors are affiliated with the University of Minnesota, United States.",American Journal of Botany,,,,"Premise of the Study Evolutionary and biogeographic history, including past environmental change and diversification processes, are likely to have influenced the expansion, migration, and extinction of populations, creating evolutionary legacy effects that influence regional species pools and the composition of communities. We consider the consequences of the diversification process in shaping trait evolution and assembly of oak-dominated communities throughout the continental United States (U.S.). Methods Within the U.S. oaks, we tested for phylogenetic and functional trait patterns at different spatial scales, taking advantage of a dated phylogenomic analysis of American oaks and the U.S. Forest Service (USFS) Forest Inventory and Analysis (FIA). Key Results We find (1) phylogenetic overdispersion at small grain sizes throughout the U.S. across all spatial extents and (2) a shift from overdispersion to clustering with increasing grain sizes. Leaf traits have evolved in a convergent manner, and these traits are clustered in communities at all spatial scales, except in the far west, where species with contrasting leaf types co-occur. Conclusions Our results support the hypotheses that (1) interspecific interactions were important in parallel adaptive radiation of the genus into a range of habitats across the continent and (2) that the diversification process is a critical driver of community assembly. Functional convergence of complementary species from distinct clades adapted to the same local habitats is a likely mechanism that allows distantly related species to coexist. Our findings contribute to an explanation of the long-term maintenance of high oak diversity and the dominance of the oak genus in North America.",,,,,,,,,,,,2018,,/Users/nelly/Zotero/storage/M5MIVGAT/Cavender-Bares et al. - 2018 - The role of diversification in community assembly .pdf,https://doi.org/10.1002/ajb2.1049,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1049,https://zotero.org/elly_pc/items/9V7Y6BDX
oak species,,,,"Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics",,"Ecophysiology, climate limitations, community assembly, drought resistance, freezing resistance, niche partitioning, range limits",2018,Leaf-level trade-offs between drought avoidance and desiccation recovery drive elevation stratification in arid oaks,"Fallon, Beth
Cavender-Bares, Jeannine","Fallon, B., & Cavender-Bares, J. (2018). Leaf-level trade-offs between drought avoidance and desiccation recovery drive elevation stratification in arid oaks. Ecosphere, 9(3), e02149. https://doi.org/10.1002/ecs2.2149","(Fallon & Cavender-Bares, 2018)",Artículo de revista académica,,"Fallon & Cavender-Bares, 2018",,,,,,,,"This study examines the relationship between climate limitations and elevation stratification among oak species in semi-arid mountains. The findings suggest that drought resistance, rather than freezing resistance, is the key factor driving elevation stratification. The study also identifies trade-offs between drought avoidance and recovery mechanisms, as well as niche partitioning among closely related oaks. The results highlight the importance of drought resistance and phenological strategies in species stratification within this montane system.","Beth Fallon and Jeannine Cavender-Bares are affiliated with the University of Minnesota, United States.",Ecosphere,,,,"Understanding the extent to which climate limitations drive elevation stratification among species is integral to predicting the impacts of climate change. Zonation patterns of species within mountains have been well documented, and shifts in these patterns have been correlated with recent warming. However, the physiological mechanisms that explain these zonation patterns are not well understood. We used a system of broadly sympatric oak species within semi-arid mountains to (1) investigate the extent to which species elevation ranges correlate with climate, (2) test for associations of cold and drought resistances with upper and lower elevation limits, and for trade-offs between resistance mechanisms with elevation, and (3) examine the extent to which species-wide climatic ranges predict traits that drive local community assembly along an elevation gradient. We found that aridity gradients but not winter minimum temperatures predict oak stratification. Species differed in drought resistance, demonstrating a trade-off between drought avoidance and drought recovery. At lower elevations, species avoided drought stress during the dry season through leaf abscission; at upper elevations, they maintained transpiration but recovered from daily desiccation via higher leaf water storage capacity, rather than tolerating desiccation via lower turgor loss points. Freezing resistance, measured as stem electrolyte leakage, was not correlated with elevation differences. Taken together, these results indicate that elevation stratification is linked to drought resistance rather than freezing resistance. We also found evidence of niche partitioning among closely related oaks linked to contrasting leaf phenology. The functional, phenological, and physiological traits important for elevation stratification were correlated with species’ range-wide mean annual precipitation and precipitation seasonality, but not aridity. Our findings indicate that drought resistance along a leaf avoidance–recovery trade-off is integral to species stratification within this semi-arid montane system. Additionally, the mechanism of stratification acts upon traits and strategies conserved at the species level. Species within this system are likely vulnerable to range retraction under increased drought as a consequence of this phenological avoidance–physiological tolerance trade-off.",,,,,,,,,,,,2018,,/Users/nelly/Zotero/storage/8RJ4S8UB/Fallon y Cavender-Bares - 2018 - Leaf-level trade-offs between drought avoidance an.pdf,https://doi.org/10.1002/ecs2.2149,https://onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.2149,https://zotero.org/elly_pc/items/7MPDVZ3G
"Quercus agrifolia, Quercus kelloggii, Quercus parvula, Quercus wislizeni",,,,"Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics, conservation genetics",,"Fagaceae, Hybridization, Lobatae, RAD-seq, quercus, red oaks, restriction-site-associated DNA sequencing, systematics",2017,"The evolution and diversification of the red oaks of the California Floristic Province (Quercus section Lobatae, series Agrifoliae)","Hauser, Duncan A.
Keuter, Al
McVay, John D.
Hipp, Andrew L.
Manos, Paul S.","Hauser, D. A., Keuter, A., McVay, J. D., Hipp, A. L., & Manos, P. S. (2017). The evolution and diversification of the red oaks of the California Floristic Province (Quercus section Lobatae, series Agrifoliae). American Journal of Botany, 104(10), 1581–1595. https://doi.org/10.3732/ajb.1700291","(Hauser et al., 2017)",Artículo de revista académica,,"Hauser et al., 2017",,,,,,,,"This study investigates the evolutionary history of the red oaks of the California Floristic Province (CA-FP), specifically the Agrifoliae. Using RAD-seq data and morphometrics, the researchers found that the Agrifoliae are monophyletic and sister to all other red oak species. They also identified a hybrid swarm between Quercus parvula and Quercus wislizeni. The study provides insights into the diversification of the red oaks during the middle Miocene and supports the current taxonomy of the species.",The affiliation of the authors is not mentioned in the provided information.,The paper was published in the American Journal of Botany.,,,,"PREMISE OF THE STUDY: The California Floristic Province (CA-FP) is a unique and diverse region of floral endemism, yet the timing and nature of divergence and diversification of many lineages remain underexplored. We seek to elucidate the evolutionary history of the red oaks of the CA-FP, the Agrifoliae. METHODS: We collected PstI-associated RAD-seq data as well as morphometrics from individuals of the four species across their ranges, including varieties and hybrids. Phylogeny and divergence times were estimated. We analyzed morphological differentiation in over 70 plants using PCA and assessed species delimitation and admixture using genotype clustering analysis in over 40 plants. KEY RESULTS: We find that the Agrifoliae are monophyletic and sister to all other red oak species. Within the Agrifoliae, all species are supported, with Quercus kelloggii sister to a clade of subevergreen taxa: (Quercus agrifolia – (Q. parvula + Q. wislizeni)). Molecular and morphometric analyses are equivocal for named varieties. Notably, Q. parvula var. tamalpaisensis appears to be part of a hybrid swarm between Q. parvula and Q. wislizeni. Dating estimates were concordant with previous hypotheses and geological evidence, with diversification occurring between 10 and 20 million years ago. CONCLUSIONS: The Agrifoliae represent a geographically discrete, early-diverging red oak lineage that diversified during the period of drying and warming associated with Sierran uplift during the middle Miocene. Molecular differentiation within the clade supports the current taxonomy, including an east–west species level pattern (Q. parvula and Q. wislizeni) and north–south intraspecific patterns to some degree, although the latter require additional study.",,,,,,,,,,,,2017,,/Users/nelly/Zotero/storage/TLYK32WZ/Hauser et al. - 2017 - The evolution and diversification of the red oaks .pdf,https://doi.org/10.3732/ajb.1700291,https://onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1700291,https://zotero.org/elly_pc/items/D9P5EKRB
"Quercus austrocochinchinensis, Quercus kerrii",,,,"Conservation Genetics and Genomics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Conservation Genetics and Genomics Past Present Future",,"AFLP, Endangered Species, Introgression, Quercus subgenus Cyclobalanopsis, SSR",2017,"Introgression Threatens the Genetic Diversity of Quercus austrocochinchinensis (Fagaceae), an Endangered Oak: A Case Inferred by Molecular Markers","An, Miao
Deng, Min
Zheng, Si-Si
Jiang, Xiao-Long
Song, Yi-Gang","An, M., Deng, M., Zheng, S.-S., Jiang, X.-L., & Song, Y.-G. (2017). Introgression Threatens the Genetic Diversity of Quercus austrocochinchinensis (Fagaceae), an Endangered Oak: A Case Inferred by Molecular Markers. Frontiers in Plant Science, 8. https://doi.org/10.3389/fpls.2017.00229","(An et al., 2017)",Artículo de revista académica,,"An et al., 2017",,,,,,,,"This study examines the genetic assimilation and introgression between closely related species, Quercus austrocochinchinensis and Q. kerrii, in the Indo-China area. The results reveal a hybrid swarm and ongoing introgression, with a high percentage of Q. austrocochinchinensis purebreds in the core protected area. Conservation efforts should prioritize the subpopulation in this area to preserve genetic diversity. The study emphasizes the importance of landscape in shaping hybridization patterns and calls for further research on this topic.",The affiliation of the authors is not mentioned in the document.,Frontiers in Plant Science,,,,"<p>Natural introgression can cause negative effects where rare species experience genetic assimilation and invade by their abundant congeners. <italic>Quercus austrocochinchinensis</italic> and <italic>Q. kerrii</italic> (subgenus <italic>Cyclobalanopsis</italic>) are a pair of closely related species in the Indo-China area. Morphological intermediates of the two species have been reported in this region. In this study, we used AFLP, SSR and two key leaf morphological diagnostic traits to study the two <italic>Q</italic>. <italic>austrocochinchinensis</italic> populations, two pure <italic>Q. kerrii</italic> and two putative hybrid populations in China. Rates of individual admixture were examined using the Bayesian clustering programs STRUCTURE and NewHybrids, with no a priori species assignment. In total, we obtained 151 SSR alleles and 781 polymorphic loci of AFLP markers. Population differentiation inferred by SSR and AFLP was incoherent with recognized species boundaries. Bayesian admixture analyses and principal coordinate analysis identified more hybrids and backcrossed individuals than morphological intermediates in the populations. SSR inferred a wide genetic assimilation in <italic>Q. austrocochinchinensis</italic>, except for subpopulation D2 in the core area of Xi-Shuang-Ban-Na Nature Reserve (XSBN). However, AFLP recognized more <italic>Q. austrocochinchinensis</italic> purebreds than SSR. Analysis using NewHybrids on AFLP data indicated that these hybridized individuals were few F<sub>2</sub> and predominantly backcrosses with both parental species. All these evidences indicate the formation of a hybrid swarm at XSBN where the two species co-exist. Both AFLP and SSR recognized that the core protected area of XSBN (D2) has a high percentage of <italic>Q. austrocochinchinensis</italic> purebreds and a unique germplasm. The Hainan population and the other subpopulations of XSBN of the species might have lost their genetic integrity. Our results revealed a clear genetic differentiation in the populations and subpopulations of <italic>Q. austrocochinchinensis</italic> and ongoing introgression between <italic>Q. austrocochinchinensis</italic> and <italic>Q. kerrii</italic> at the disturbed contact areas. Combining the results from genetic and morphological analyses, the conservation of subpopulation D2 should be prioritized. Conservation and restoration of the integrity of tropical ravine rainforest is an important long-term goal for the successful conservation of <italic>Q. austrocochinchinensis</italic>. The fine-scale landscape might play an essential role in shaping the spatial patterns of hybridization. Further studies are needed to evaluate these patterns and dynamics.</p>",,,,,,,,,,,,21/02/17,,/Users/nelly/Zotero/storage/JZXNM9A2/An et al. - 2017 - Introgression Threatens the Genetic Diversity of Q.pdf,https://doi.org/10.3389/fpls.2017.00229,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2017.00229/full,https://zotero.org/elly_pc/items/PIJSH4PP
Quercus baronii,,,,Quercus Conservation Genetics,,"Complete chloroplast genome, Quercus baronii, phylogenetic relationship",2017,The complete chloroplast genome of Quercus baronii (Quercus L.),"Yang, Yan-ci
Zhou, Tao
Yang, Jia
Meng, Xu
Zhu, Juan
Zhao, Guifang","Yang, Y., Zhou, T., Yang, J., Meng, X., Zhu, J., & Zhao, G. (2017). The complete chloroplast genome of Quercus baronii (Quercus L.). Mitochondrial DNA Part A, 28(2), 290–291. https://doi.org/10.3109/19401736.2015.1118084","(Yang et al., 2017)",Artículo de revista académica,,"Yang et al., 2017",,,,,,,,"The study presents the complete chloroplast genome of Quercus baronii, an endemic species to China. The genome has a total length of 161,072 bp and exhibits a typical quadripartite structure. Phylogenetic analysis reveals its relationship with other Quercus species. The study was conducted by Yang et al. in 2017 and published in Mitochondrial DNA Part A.",The affiliation of the authors is not mentioned in the provided information.,Mitochondrial DNA Part A,,,,"Quercus baronii is an endemic species to China. The total length of the Q. baronii chloroplast genome is 161 072 bp. It exhibits typical quadripartite structure, composed of two copies of inverted repeat (IR) regions (25 843 bp), large single copy (LSC) region (90 341 bp), and small single copy (SSC) region (19 045 bp). The genome contains 134 genes, including 86 protein-coding genes, 40 tRNA genes, and 8 rRNA genes. Phylogenetic analysis revealed its relationship with reported Quercus L. species.",,,,,,,,,,,,04/03/17,,,https://doi.org/10.3109/19401736.2015.1118084,https://doi.org/10.3109/19401736.2015.1118084,https://zotero.org/elly_pc/items/LRFEB77R
Quercus rubra,,,,,,"Dense linkage mapping, Quercus rubra, Sequencing depth, ddRADSeq",2017,High-quality genetic mapping with ddRADseq in the non-model tree Quercus rubra,"Konar, Arpita
Choudhury, Olivia
Bullis, Rebecca
Fiedler, Lauren
Kruser, Jacqueline M.
Stephens, Melissa T.
Gailing, Oliver
Schlarbaum, Scott
Coggeshall, Mark V.
Staton, Margaret E.
Carlson, John E.
Emrich, Scott
Romero-Severson, Jeanne","Konar, A., Choudhury, O., Bullis, R., Fiedler, L., Kruser, J. M., Stephens, M. T., Gailing, O., Schlarbaum, S., Coggeshall, M. V., Staton, M. E., Carlson, J. E., Emrich, S., & Romero-Severson, J. (2017). High-quality genetic mapping with ddRADseq in the non-model tree Quercus rubra. BMC Genomics, 18(1), 417. https://doi.org/10.1186/s12864-017-3765-8","(Konar et al., 2017)",Artículo de revista académica,,"Konar et al., 2017",,,,,,,,"This document discusses the use of ddRADseq for high-quality genetic mapping in the non-model tree Quercus rubra. The study optimized the approach to produce accurate maps, enabling the discovery of chromosome segments with allelic variants for resistance to biotic and abiotic stresses. The research provides insights into the potential of RADseq as a low-cost approach for genetic linkage mapping in forest trees without a reference genome.",The affiliation of the authors is not mentioned in the document.,BMC Genomics,,,,"Restriction site associated DNA sequencing (RADseq) has the potential to be a broadly applicable, low-cost approach for high-quality genetic linkage mapping in forest trees lacking a reference genome. The statistical inference of linear order must be as accurate as possible for the correct ordering of sequence scaffolds and contigs to chromosomal locations. Accurate maps also facilitate the discovery of chromosome segments containing allelic variants conferring resistance to the biotic and abiotic stresses that threaten forest trees worldwide. We used ddRADseq for genetic mapping in the tree Quercus rubra, with an approach optimized to produce a high-quality map. Our study design also enabled us to model the results we would have obtained with less depth of coverage.",,,,,,,,,,,,30/05/17,,/Users/nelly/Zotero/storage/K5JLNSD7/Konar et al. - 2017 - High-quality genetic mapping with ddRADseq in the .pdf,https://doi.org/10.1186/s12864-017-3765-8,https://doi.org/10.1186/s12864-017-3765-8,https://zotero.org/elly_pc/items/Y87MX4YG
